id_registo,data_registo,unidade_organizacional,tipo_servico,indicador_si,taxa_resolucao,tempo_resposta,satisfacao_cidadao,volume_interacoes,canal_utilizado,taxa_abandono,erros_tecnicos,transparencia,feedback_cidadao,segmentacao_utilizador,area_tematica,indicador_kpi
157,2024-03-26,Direcção De Recursos Humanos,Telefone,61.05,96.03,49,4.4,271,Presencial,19.89,12,Não,Precisa Melhorias,Utilizador Vulnerável,Habitação,72.21
158,2024-10-10,Serviços De Educação,Balcão Único,75.06,93.26,71,3.6,225,Aplicacao_Movel,22.97,8,Sim,Muito Satisfeito,Reforma/Pensionista,Cultura,99.74
159,2024-03-06,Direcção De Recursos Humanos,Email,92.42,97.02,81,4.8,156,Chatbot,15.02,13,Sim,Serviço Eficiente,Utilizador Vulnerável,Mobilidade,77.27
160,2024-06-18,Serviços De Educação,Telefone,99.49,73.48,84,4.9,345,Portal,23.52,8,Sim,Bom Serviço,Reforma/Pensionista,Educação,54.41
161,2024-02-14,Gabinete De Atendimento Ao Cidadão,Serviços Digitais,66.02,90.46,105,4.9,177,Aplicacao_Movel,20.67,1,Sim,Sistema Lento,Estudante,Social,80.34
162,2024-03-02,Departamento De Inovação E Digitalização,Atendimento Presencial,83.77,96.27,49,3.9,101,Portal,16.67,2,Sim,Sistema Lento,Reforma/Pensionista,Saúde,57.58
163,2024-05-13,Departamento De Inovação E Digitalização,Balcão Único,75.24,75.07,20,4.7,362,Chatbot,14.43,6,Sim,Precisa Melhorias,Utilizador Vulnerável,Ambiente,51.55
164,2024-10-10,Serviços De Ti,Balcão Único,98.8,71.86,118,4.7,68,Chatbot,8.71,4,Sim,Precisa Melhorias,Utilizador Vulnerável,Ambiente,98.54
165,2024-01-28,Departamento De Saúde Pública,Balcão Único,93.68,90.75,86,3.6,68,Presencial,3.98,1,Sim,Resposta Rápida E Eficaz,Reforma/Pensionista,Ambiente,88.68
166,2024-04-17,Serviços De Ti,Email,93.53,86.09,92,4.7,313,Chatbot,15.12,2,Sim,Resposta Rápida E Eficaz,Funcionário Público,Inovação,99.01
167,2024-02-13,Serviços De Ti,Telefone,78.75,93.57,63,3.1,178,Aplicacao_Movel,7.95,9,Não,Processo Complicado,Estudante,Ambiente,73.89
168,2024-12-05,Serviços De Ti,Email,76.59,73.91,61,4.2,278,Aplicacao_Movel,21.66,5,Não,Processo Complicado,Cidadão,Social,76.61
169,2024-10-12,Serviços De Ti,Portal Online,70.94,92.27,104,3.5,372,Aplicacao_Movel,24.83,12,Não,Excelente Atendimento,Empresa,Educação,58.42
170,2024-11-26,Serviços De Ti,Portal Online,62.26,75.65,49,3.2,54,Presencial,18.81,6,Não,Processo Complicado,Utilizador Vulnerável,Ambiente,62.35
171,2024-05-07,Departamento De Planeamento Estratégico,Telefone,94.59,74.58,71,3.2,354,Presencial,2.26,8,Sim,Falta De Informação,Empresa,Habitação,91.93
172,2024-12-13,Departamento De Inovação E Digitalização,Serviços Digitais,92.52,74.6,1,4.4,190,Chatbot,7.22,0,Sim,Precisa Melhorias,Cidadão,Habitação,67.81
173,2024-08-18,Serviços De Ti,Email,99.99,92.81,96,3.7,179,Email,2.73,10,Sim,Serviço Eficiente,Empresa,Inovação,91.34
174,2024-07-08,Serviços De Educação,Atendimento Presencial,99.87,88.63,13,4.4,365,Email,16.26,6,Sim,Falta De Informação,Cidadão,Social,85.45
175,2024-08-12,Departamento De Inovação E Digitalização,Balcão Único,82.22,84.65,94,3.1,200,Presencial,19.13,7,Não,Muito Satisfeito,Reforma/Pensionista,Educação,58.86
176,2024-10-09,Departamento De Inovação E Digitalização,Balcão Único,90.76,80.05,87,3.6,164,Chatbot,23.14,11,Sim,Sistema Lento,Funcionário Público,Saúde,75.37
177,2024-04-30,Direcção De Serviços Financeiros,Telefone,97.79,94.56,51,4.1,431,Email,10.95,13,Não,Processo Complicado,Utilizador Vulnerável,Cultura,83.87
178,2024-04-25,Departamento De Planeamento Estratégico,Serviços Digitais,93.99,80.99,56,4.6,197,Chatbot,22.53,2,Sim,Sistema Lento,Cidadão,Educação,61.75
179,2024-08-20,Serviços De Ti,Portal Online,69.89,92.86,83,3.6,16,Chatbot,21.95,3,Sim,Bom Serviço,Empresa,Cultura,91.53
180,2024-09-15,Direcção De Recursos Humanos,Portal Online,78.02,82.3,62,4.3,142,Chatbot,7.93,9,Sim,Excelente Atendimento,Utilizador Vulnerável,Mobilidade,77.24
181,2024-12-24,Gabinete De Atendimento Ao Cidadão,Balcão Único,65.17,80.55,32,4.8,244,Telefone,21.72,5,Não,Bom Serviço,Funcionário Público,Cultura,58.26
182,2024-07-16,Departamento De Saúde Pública,Telefone,98.16,82.96,30,4.2,54,Aplicacao_Movel,9.39,9,Sim,Excelente Atendimento,Reforma/Pensionista,Digitalização,79.15
183,2024-05-16,Serviços De Educação,Email,84.25,78.44,29,3.5,323,Chatbot,7.42,6,Sim,Resposta Rápida E Eficaz,Utilizador Vulnerável,Habitação,99.99
184,2024-11-13,Direcção De Recursos Humanos,Portal Online,69.15,90.93,49,3.0,258,Telefone,16.23,12,Sim,Sistema Lento,Cidadão,Social,57.53
185,2024-06-13,Departamento De Planeamento Estratégico,Email,86.87,84.08,45,4.7,40,Presencial,8.21,13,Sim,Excelente Atendimento,Funcionário Público,Inovação,90.84
186,2024-08-12,Gabinete De Atendimento Ao Cidadão,Serviços Digitais,84.73,76.5,93,3.0,32,Email,15.76,3,Sim,Tempo De Espera Elevado,Empresa,Digitalização,60.37
187,2024-11-02,Departamento De Planeamento Estratégico,Portal Online,74.33,95.19,30,4.7,435,Aplicacao_Movel,15.25,7,Sim,Falta De Informação,Funcionário Público,Cultura,89.12
188,2024-08-21,Serviços De Educação,Portal Online,64.54,80.75,16,4.1,403,Email,14.09,4,Sim,Excelente Atendimento,Funcionário Público,Ambiente,86.73
189,2024-06-20,Departamento De Inovação E Digitalização,Chatbot,86.86,85.22,40,4.9,169,Aplicacao_Movel,9.51,0,Sim,Excelente Atendimento,Estudante,Social,65.02
190,2024-05-31,Gabinete De Atendimento Ao Cidadão,Portal Online,80.81,95.38,19,4.6,372,Email,13.71,3,Sim,Falta De Informação,Funcionário Público,Digitalização,66.29
191,2024-11-10,Departamento De Inovação E Digitalização,Atendimento Presencial,90.89,87.48,18,5.0,446,Aplicacao_Movel,14.91,2,Sim,Sistema Lento,Funcionário Público,Inovação,89.63
192,2024-06-08,Serviços De Educação,Telefone,80.81,73.27,1,3.7,167,Email,13.64,8,Sim,Sistema Lento,Utilizador Vulnerável,Habitação,73.07
193,2024-04-05,Direcção De Recursos Humanos,Telefone,94.09,96.32,78,4.5,48,Email,11.11,7,Sim,Falta De Informação,Empresa,Social,86.54
194,2024-08-20,Serviços De Educação,Email,82.08,87.58,115,3.8,424,Email,0.37,0,Sim,Bom Serviço,Utilizador Vulnerável,Inovação,57.4
195,2024-06-28,Direcção De Recursos Humanos,Serviços Digitais,82.44,79.38,47,4.0,91,Email,14.68,10,Sim,Tempo De Espera Elevado,Utilizador Vulnerável,Mobilidade,92.63
196,2024-04-22,Gabinete De Atendimento Ao Cidadão,Portal Online,95.07,73.9,114,4.3,365,Presencial,4.21,5,Não,Serviço Eficiente,Cidadão,Mobilidade,85.54
197,2024-11-13,Gabinete De Atendimento Ao Cidadão,Atendimento Presencial,76.14,92.23,66,4.7,267,Chatbot,16.06,8,Sim,Muito Satisfeito,Utilizador Vulnerável,Inovação,95.35
198,2024-02-21,Serviços De Ti,Email,65.36,87.36,118,5.0,215,Portal,18.98,6,Sim,Tempo De Espera Elevado,Estudante,Digitalização,56.62
199,2024-09-24,Departamento De Planeamento Estratégico,Chatbot,61.15,84.94,92,4.5,86,Telefone,12.51,3,Sim,Sistema Lento,Estudante,Social,79.65
200,2024-10-21,Serviços De Ti,Email,90.21,95.03,113,3.8,486,Portal,13.56,12,Sim,Serviço Eficiente,Cidadão,Digitalização,79.96
